id,iata,name
0,FRACL,Angers St Laud
1,FRNTE,Nantes
2,FRXSH,St Pierre Des Corps
3,FRLAB,Les Aubrais Orleans
4,FRAVG,Avignon Tgv
5,FRADJ,Lille (Intramuros)
6,FRMSC,Marseille St Charles
7,FRAIE,Aix En Provence Tgv
8,FRMLV,Marne La Vallee Chessy
9,FRMLW,Aeroport Cdg2 Tgv Roissy
10,FRJCA,Cannes
11,FRNIC,Nice Ville
12,FRPLY,Paris (Intramuros)
13,FRXSK,St Raphael Valescure
14,FRTLN,Toulon
15,FRJDQ,Lyon-saint Exupery Tgv
16,FRXAT,Antibes
17,FRPAZ,Paris (Intramuros)
18,FRAET,Le Mans
19,FRQTJ,Chartres
20,FRMPU,Massy Palaiseau
21,FRTHP,Tgv Haute Picardie
22,FRSUF,Montpellier Sud De France
23,FRXZP,Nimes Pont Du Gard
24,FRPMO,Paris (Intramuros)
25,FREIP,Surgeres
26,FRDHT,Versailles Chantiers
27,FRBOJ,Bordeaux St Jean
28,FRPIS,Poitiers
29,FRADM,Tourcoing
30,FRXMW,Montauban Ville Bourbon
31,FRAGF,Agen
32,FRXYT,Toulouse Matabiau
33,FREGU,Le Croisic
34,FRACR,Laval
35,FRRNS,Rennes
36,FRDJU,Massy Tgv
37,FRLPD,Lyon (Intramuros)
38,FRQNJ,Annemasse
39,FRHTZ,Cluses  74
40,FRXGF,St Gervais Les Bains Le Fayet
41,FRANG,Angouleme
42,FRPBE,Paris (Intramuros)
43,FRNVS,Nevers
44,FRRIO,Riom Chatel Guyon
45,FRVAF,Valence Ville
46,FRAES,Avignon Centre
47,FRXMK,Montelimar Gare Sncf
48,FRLPE,Lyon (Intramuros)
49,FREAJ,Meuse Tgv
50,DEFRH,Frankfurt Main Hbf
51,DEQKA,Karlsruhe Hbf
52,DEMHG,Mannheim Hbf
53,FRFMN,Issoudun
54,FRAAW,Uzerche
55,FRAEG,Strasbourg
56,FRVLA,Valence Tgv Rhone-alpes Sud
57,FRLST,La Souterraine
58,FRAGQ,Limoges Benedictins
59,FRXVZ,Vierzon Ville
60,FRAEK,Mulhouse Ville
61,FRGWE,Montbard
62,FRBVE,Brive La Gaillarde
63,FRTJB,Besancon - F Comte Tgv
64,FRCHR,Chateauroux
65,FRTJA,Belfort-montbeliard Tgv
66,FRLRH,La Rochelle Ville
67,FRNIT,Niort
68,FRSOU,Souillac
69,FRZAO,Cahors
70,FRFSI,Gourdon
71,FRFNI,Nimes
72,FRABA,Dijon Ville
73,FRXCD,Chalon Sur Saone
74,FRMPL,Montpellier Saint-roch
75,FRXAV,Albertville
76,FRGNB,Grenoble
77,FRQBM,Bourg St Maurice
78,FRAEJ,Colmar
79,FRQAI,Aime La Plagne
80,FRXAI,Aix Les Bains Le Revard
81,FRNCY,Annecy
82,FRQMU,Moutiers Salins Brides L Bains
83,FRXSB,St Malo
84,FRADE,Metz Ville
85,FRPST,Paris (Intramuros)
86,FRDOL,Dol De Bretagne
87,FRCMF,Chambery Challes Les Eaux
88,FRBES,Brest
89,FRHPG,Landry
90,FRSBK,St Brieuc
91,FRGGP,Guingamp
92,FRMXN,Morlaix
93,FRXBK,Bourg En Bresse
94,CHGVA,Geneve
95,FRXBF,Bellegarde
96,FRLRT,Lorient
97,FRXRS,Les Arcs Draguignan
98,FRUIP,Quimper
99,FRVNE,Vannes
100,FREAM,Lorraine Tgv
101,FRXMU,Moulins Sur Allier
102,FRACN,Saumur
103,FREAH,Champagne-ardenne
104,FRSGF,St Germain Des Fosses
105,FRBOU,Bourges
106,DERSH,Ringsheim/eu-park
107,DESBK,Sarrebruck/saarbruecken
108,DEKLT,Kaiserslautern Hbf
109,FRFMT,Argenton Sur Creuse
110,FRLLE,Lille (Intramuros)
111,FRXTH,Thionville
112,LULUX,Luxembourg
113,FRXAG,Agde
114,FRBZR,Beziers
115,FRPGF,Perpignan
116,FRXCC,Le Creusot Montceau Montchanin
117,FRXLR,Libourne
118,FRXNA,Narbonne
119,FRPNO,Paris (Intramuros)
120,FRAEB,Boulogne Ville
121,FRXSY,Sete
122,FRQRV,Arras
123,FRABG,Besancon Viotte
124,FRENC,Nancy
125,BEBMI,Bruxelles Midi Brussel Zuid
126,FRBQT,Forbach
127,FRQAM,Amiens
128,FRAEF,Hendaye
129,FRAEE,Pau
130,FRXUY,Auray
131,FRGFI,Orthez
132,FRXBY,Bayonne
133,FRBIQ,Biarritz
134,FRXTB,Tarbes
135,DEFGB,Freiburg Breisgau Hbf
136,DEANL,Lahr Schwarzw
137,DEZPA,Offenbourg/offenburg
138,FRACG,Dax
139,FREMR,Jonzac
140,FRLCN,Lucon
141,FRXJZ,St Jean De Luz Ciboure
142,FRMBC,Marseille Blancarde
143,FRXRO,La Roche Sur Yon
144,FREJC,St Maixent Deux Sevres
145,FRSNR,St Nazaire
146,FRJEE,La Baule Escoublac
147,FRXVR,St Michel Valloire
148,FRCFE,Clermont Ferrand
149,FRVHY,Vichy
150,FRCCF,Carcassonne
151,FRMLT,Macon Loche Tgv
152,FRXTD,St Die Des Vosges
153,FRLNE,Luneville
154,FRAFW,Tours
155,FRSAB,Sable Sur Sarthe
156,FRHZA,Arles
157,FRMAZ,Miramas
158,FRXOG,Orange
159,FRACE,Dole Ville
